model,task,method,shot,pass@k,pass@k_40,pass@k_185,pass@k_294,pass@k_480,pass@k_638
codellama-13b,java,naive,3-shot,pass@5,39.13,41.30,39.57,38.26,38.26
codellama-13b,java,retrieval,3-shot,pass@5,40.00,41.74,40.87,42.17,41.30
codellama-13b,java,zero,0-shot,pass@5,36.09,38.70,36.96,36.52,36.96
codellama-34b,java,naive,3-shot,pass@5,40.00,41.30,40.00,41.74,41.30
codellama-34b,java,retrieval,3-shot,pass@5,42.61,43.04,40.00,42.17,41.74
codellama-34b,java,zero,0-shot,pass@5,40.00,42.17,39.57,39.13,40.00
codellama-7b,java,naive,3-shot,pass@5,38.26,36.52,40.00,40.43,39.57
codellama-7b,java,retrieval,3-shot,pass@5,38.70,35.22,37.83,37.83,38.26
codellama-7b,java,zero,0-shot,pass@5,39.57,36.96,40.00,38.70,37.83
gpt-20b,java,naive,3-shot,pass@5,49.57,46.96,50.87,50.43,50.00
gpt-20b,java,retrieval,3-shot,pass@5,50.87,51.30,52.61,52.17,53.91
gpt-20b,java,zero,0-shot,pass@5,50.00,52.17,49.57,49.13,52.17
qwen2.5-1.5b,java,naive,3-shot,pass@5,39.57,42.17,42.17,37.83,43.91
qwen2.5-1.5b,java,retrieval,3-shot,pass@5,39.13,43.91,40.43,43.04,39.13
qwen2.5-1.5b,java,zero,0-shot,pass@5,42.17,40.87,38.70,37.83,38.26
qwen2.5-32b,java,naive,3-shot,pass@5,28.70,41.30,41.74,43.91,42.61
qwen2.5-32b,java,retrieval,3-shot,pass@5,36.52,45.22,47.39,46.52,46.52
qwen2.5-32b,java,zero,0-shot,pass@5,45.65,44.35,47.39,46.96,45.22
qwen2.5-7b,java,naive,3-shot,pass@5,39.13,41.74,42.17,40.87,42.17
qwen2.5-7b,java,retrieval,3-shot,pass@5,34.78,40.43,40.43,40.87,39.57
qwen2.5-7b,java,zero,0-shot,pass@5,38.70,43.91,44.78,43.48,40.87
